"","run_ID","paper","eta","Re_c","frontal_area_unit_volume","height","d_c","d_p_cm","radius_ratio","ave_velocity_cm","kin_viscosity_cm2","f_density","c_density","L","J","logY","logX1","logX2","logX4","logX5","predlogeta"
"1","181115","ESDL",0.000488,229.17,0.039348291,40,0.3175,0.002,0.006299213,6,0.00979,1,1450,45.1511506925916,0.0124930823925,-7.62519515211113,5.43446408622138,-4.38258019646094,-5.0673305740228,3.8100157655314,-6.19460338389904
"2","181204","ESDL",0.000656,229.17,0.039348291,40,0.3175,0.002,0.006299213,6,0.00979,1,1450,45.1511506925916,0.0124930823925,-7.32934976902018,5.43446408622138,-4.38258019646094,-5.0673305740228,3.8100157655314,-6.19460338389904
"3","190131","ESDL",0.001045,229.17,0.039348291,38.5,0.3175,0.002,0.006299213,6,0.00979,1,1450,45.1511506925916,0.0124930823925,-6.86373839356536,5.43446408622138,-4.38258019646094,-5.0673305740228,3.8100157655314,-6.19460338389904
"4","190506","ESDL",0.002545,229.17,0.007544017,40,0.3175,0.002,0.006299213,6,0.00979,1,278,26.0352099501595,0.0023952253975,-5.97362462897965,5.43446408622138,-6.03427794085646,-5.0673305740228,3.25944985073289,-5.42654649038093
"5","190612","ESDL",0.000892,229.17,0.021709402,40,0.3175,0.002,0.006299213,6,0.00979,1,800,37.0319133555578,0.006892735135,-7.02204442538426,5.43446408622138,-4.97728730103088,-5.0673305740228,3.61178006400809,-5.9180583000064
"6","190701","ESDL",0.001093,229.17,0.021709402,40,0.3175,0.002,0.006299213,6,0.00979,1,800,37.0319133555578,0.006892735135,-6.81882906978774,5.43446408622138,-4.97728730103088,-5.0673305740228,3.61178006400809,-5.9180583000064
"7","190905","ESDL",0.006996,76.39,0.007544017,40,0.3175,0.002,0.006299213,2,0.00979,1,278,8.67840331671984,0.0023952253975,-4.96241672182578,4.33585179755327,-6.03427794085646,-5.0673305740228,2.16083756206479,-5.42201305111503
"8","190918","ESDL",0.003447,229.17,0.007544017,40,0.3175,0.002,0.006299213,6,0.00979,1,278,26.0352099501595,0.0023952253975,-5.67025099144741,5.43446408622138,-6.03427794085646,-5.0673305740228,3.25944985073289,-5.42654649038093
"9","190926","ESDL",0.003871,152.78,0.007544017,40,0.3175,0.002,0.006299213,4,0.00979,1,278,17.3568066334397,0.0023952253975,-5.55424240738663,5.02899897811321,-6.03427794085646,-5.0673305740228,2.85398474262473,-5.42487333283389
"10","191029","ESDL",0.001763363,63.184,0.021709402,40,0.3175,0.002,0.006299213,2,0.00979,1,800,12.3439711185193,0.006892735135,-6.34053249772497,4.14605110454429,-4.97728730103088,-5.0673305740228,2.51316777533998,-5.87031473277346
"11","200128","ESDL",0.003336052,189.552,0.007544017,40,0.3175,0.002,0.006299213,6,0.00979,1,278,26.0352099501595,0.0023952253975,-5.70296720707714,5.2446633932124,-6.03427794085646,-5.0673305740228,3.25944985073289,-5.38333636241388
"12","200211","ESDL",0.001518392,126.368,0.021709402,40,0.3175,0.002,0.006299213,4,0.00979,1,800,24.6879422370385,0.006892735135,-6.49010339882639,4.83919828510424,-4.97728730103088,-5.0673305740228,3.20631495589993,-5.87317501449232
"13","200303","ESDL",0.001165441,63.184,0.039348291,40,0.3175,0.002,0.006299213,2,0.00979,1,1450,15.0503835641972,0.0124930823925,-6.75465572282042,4.14605110454429,-4.38258019646094,-5.0673305740228,2.71140347686329,-6.14685981666609
"14","200313","ESDL",0.000861881,126.368,0.039348291,40,0.3175,0.002,0.006299213,4,0.00979,1,1450,30.1007671283944,0.0124930823925,-7.05639334787459,4.83919828510424,-4.38258019646094,-5.0673305740228,3.40455065742324,-6.14972009838495
"15","16a","Fauria_2014",0.021835,0.01,0.054751899,14,0.3,0.0011,0.003666667,1.9,0.00979,1,7209,14.8001338925888,0.0164255697,-3.82424109204461,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.69463622752569,-4.43063477590541
"16","16b","Fauria_2014",0.020729,0.01,0.054751899,14.3,0.3,0.0011,0.003666667,1.8,0.00979,1,7209,14.0211794771894,0.0164255697,-3.87622159296476,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.64056900625541,-4.44272063945275
"17","17a","Fauria_2014",0.01721,0.01,0.054751899,15,0.3,0.0011,0.003666667,4.7,0.00979,1,7209,36.6108575237723,0.0164255697,-4.06226466875869,-4.60517018598809,-4.10891603028146,-5.60847220394279,3.60034485006931,-4.22817808276424
"18","17b","Fauria_2014",0.016968,0.01,0.054751899,15.1,0.3,0.0011,0.003666667,4.7,0.00979,1,7209,36.6108575237723,0.0164255697,-4.07642606171976,-4.60517018598809,-4.10891603028146,-5.60847220394279,3.60034485006931,-4.22817808276424
"19","18a","Fauria_2014",0.005292,0.02,0.054751899,16.7,0.3,0.0011,0.003666667,6,0.00979,1,7209,46.7372649239647,0.0164255697,-5.24155903272943,-3.91202300542815,-4.10891603028146,-5.60847220394279,3.84454181058135,-4.3313940138316
"20","18b","Fauria_2014",0.008628,0.02,0.054751899,16.7,0.3,0.0011,0.003666667,6,0.00979,1,7209,46.7372649239647,0.0164255697,-4.75274255045523,-3.91202300542815,-4.10891603028146,-5.60847220394279,3.84454181058135,-4.3313940138316
"21","7a","Fauria_2014",0.039096,0.01,0.054751899,14.7,0.3,0.0011,0.003666667,1.8,0.00979,1,7209,14.0211794771894,0.0164255697,-3.24173511901428,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.64056900625541,-4.44272063945275
"22","7b","Fauria_2014",0.011034,0.01,0.054751899,14.7,0.3,0.0011,0.003666667,1.8,0.00979,1,7209,14.0211794771894,0.0164255697,-4.5067738641319,-4.60517018598809,-4.10891603028146,-5.60847220394279,2.64056900625541,-4.44272063945275
"23","8a","Fauria_2014",0.005343,0.01,0.054751899,15.9,0.3,0.0011,0.003666667,4.4,0.00979,1,7209,34.2739942775741,0.0164255697,-5.2319679860065,-4.60517018598809,-4.10891603028146,-5.60847220394279,3.53438688227751,-4.24292193273217
"24","8b","Fauria_2014",0.010151,0.01,0.054751899,15.8,0.3,0.0011,0.003666667,4.4,0.00979,1,7209,34.2739942775741,0.0164255697,-4.59018305617984,-4.60517018598809,-4.10891603028146,-5.60847220394279,3.53438688227751,-4.24292193273217
"25","9a","Fauria_2014",0.005392,0.02,0.054751899,17,0.3,0.0011,0.003666667,5.9,0.00979,1,7209,45.9583105085653,0.0164255697,-5.22283890537213,-3.91202300542815,-4.10891603028146,-5.60847220394279,3.82773469226497,-4.33515097662391
"26","9b","Fauria_2014",0.001161,0.02,0.054751899,17.1,0.3,0.0011,0.003666667,5.9,0.00979,1,7209,45.9583105085653,0.0164255697,-6.75847357626638,-3.91202300542815,-4.10891603028146,-5.60847220394279,3.82773469226497,-4.33515097662391
"27","1","Palmer_2004",0.35,68,0.000104959,9.75,0.635,0.0194,0.030551181,10487.74173,0.00979,1,1,27580.6282081172,6.6648965e-05,-1.04982212449868,4.21950770517611,-9.61607104034235,-3.48835193617392,10.2248689287571,-1.29666539927569
"28","2","Palmer_2004",0.14,137,0.000209917,9.75,1.27,0.0194,0.015275591,10564.85748,0.00979,1,1,88206.7422701001,0.00026659459,-1.96611285637283,4.91998092582813,-8.22978144299871,-4.18149908400191,11.3874386820449,-2.10390632951796
"29","3","Palmer_2004",0.05,279,0.000419835,9.75,2.54,0.0194,0.007637795,10757.64685,0.00979,1,1,285149.377171386,0.0010663809,-2.99573227355399,5.63121178182137,-6.84348469998786,-4.87464633002577,12.5607684523683,-2.91119499677575
"30","4","Palmer_2004",0.21,38,0.000104959,9.75,0.635,0.0194,0.030551181,5860.79685,0.00979,1,1,15412.7040009741,6.6648965e-05,-1.56064774826467,3.63758615972639,-9.61607104034235,-3.48835193617392,9.64294738345794,-1.29426409169157
"31","5","Palmer_2004",0.094,76,0.000209917,9.75,1.27,0.0194,0.015275591,5860.79685,0.00979,1,1,48932.2073888842,0.00026659459,-2.36446049671213,4.33073334028633,-8.22978144299871,-4.18149908400191,10.7981910964658,-2.101474790967
"32","6","Palmer_2004",0.032,149,0.000419835,9.75,2.54,0.0194,0.007637795,5745.123228,0.00979,1,1,152284.075976808,0.0010663809,-3.44201937618241,5.00394630594546,-6.84348469998786,-4.87464633002577,11.9335029764687,-2.90860657685547
"33","7","Palmer_2004",0.48,115,0.000104959,9.75,0.635,0.0194,0.030551181,17736.62205,0.00979,1,1,46643.709487013,6.6648965e-05,-0.7339691750802,4.74493212836325,-9.61607104034235,-3.48835193617392,10.7502933523174,-1.29883357056258
"34","8","Palmer_2004",0.19,239,0.000209917,9.75,1.27,0.0194,0.015275591,18430.66378,0.00979,1,1,153878.915355641,0.00026659459,-1.66073120682165,5.47646355193151,-8.22978144299871,-4.18149908400191,11.9439213082038,-2.10620266299281
"35","9","Palmer_2004",0.077,486,0.000419835,9.75,2.54,0.0194,0.007637795,18739.12677,0.00979,1,1,496711.818272893,0.0010663809,-2.56394985712845,6.18620862390049,-6.84348469998786,-4.87464633002577,13.1157652943958,-2.91348519916559
"36","10","Palmer_2004",0.27,233,0.000209917,9.75,1.27,0.0194,0.015275591,17967.96929,0.00979,1,1,150015.846335875,0.00026659459,-1.30933331998376,5.4510384535657,-8.22978144299871,-4.18149908400191,11.9184962097378,-2.10609774598445
"37","11","Palmer_2004",0.42,239,0.000209917,9.75,1.27,0.0194,0.015275591,18430.66378,0.00979,1,1,153878.915355641,0.00026659459,-0.867500567704723,5.47646355193151,-8.22978144299871,-4.18149908400191,11.9439213082038,-2.10620266299281
"38","12","Palmer_2004",0.26,130,0.000209917,9.75,1.27,0.0194,0.015275591,10025.04724,0.00979,1,1,83699.828399792,0.00026659459,-1.34707364796661,4.86753445045558,-8.22978144299871,-4.18149908400191,11.3349922062938,-2.10368990847454
"39","1.1","Purich_2006",0.002755732,72.34,0.128279397,4,0.63,0.0231,0.036666667,1.12,0.00979,1.023,1013,31.1607833413275,0.08081602011,-5.89407217293933,4.28137722652395,-2.51558006441961,-3.30588719276692,3.43916036001029,-6.61641527273341
"40","1.2","Purich_2006",0.001770942,185.67,0.128279397,4,0.63,0.0231,0.036666667,2.86,0.00979,1.023,1013,79.5712860323185,0.08081602011,-6.33624367057657,5.22397090441938,-2.51558006441961,-3.30588719276692,4.37665329953505,-6.62144508755282
"41","1.3","Purich_2006",0.00138543,256.65,0.128279397,4,0.63,0.0231,0.036666667,3.97,0.00979,1.023,1013,110.453848093813,0.08081602011,-6.58174471821438,5.54771328900631,-2.51558006441961,-3.30588719276692,4.70459776940239,-6.62184170608386
"42","1.4","Purich_2006",0.001836714,414.25,0.128279397,4,0.63,0.0231,0.036666667,6.42,0.00979,1.023,1013,178.618061652967,0.08081602011,-6.29977717349264,6.02646965630667,-2.51558006441961,-3.30588719276692,5.18524979240516,-6.62339355750881
"43","1.5","Purich_2006",0.001850002,497.03,0.128279397,4,0.63,0.0231,0.036666667,7.7,0.00979,1.023,1013,214.230385471627,0.08081602011,-6.29256855881141,6.20865038644794,-2.51558006441961,-3.30588719276692,5.36705200356293,-6.62422994075968
"44","1.6","Purich_2006",0.002237482,586.9,0.128279397,4,0.63,0.0231,0.036666667,9.09,0.00979,1.023,1013,252.903143368453,0.08081602011,-6.10240415254036,6.37485444756429,-2.51558006441961,-3.30588719276692,5.53300658289268,-6.62497155185423
"45","2.1","Purich_2006",0.006439034,71.02,0.256558794,4,0.63,0.0231,0.036666667,1.1,0.00979,1.023,2026,38.5590531689708,0.16163204022,-5.045376750117,4.26296152751494,-1.82243288385966,-3.30588719276692,3.65219091469426,-6.93857125260793
"46","2.2","Purich_2006",0.004648723,184.54,0.256558794,4,0.63,0.0231,0.036666667,2.86,0.00979,1.023,2026,100.253538239324,0.16163204022,-5.37116272075477,5.21786624215041,-1.82243288385966,-3.30588719276692,4.6077023597217,-6.94237605563544
"47","2.3","Purich_2006",0.003407122,283.29,0.256558794,4,0.63,0.0231,0.036666667,4.39,0.00979,1.023,2026,153.885675828892,0.16163204022,-5.68188733231513,5.64647110794309,-1.82243288385966,-3.30588719276692,5.03620996197702,-6.94416644143224
"48","2.4","Purich_2006",0.004066256,350.84,0.256558794,4,0.63,0.0231,0.036666667,5.43,0.00979,1.023,2026,190.341507915919,0.16163204022,-5.50503260461678,5.86033027908318,-1.82243288385966,-3.30588719276692,5.24881986883578,-6.94532818742181
"49","2.5","Purich_2006",0.00183074,440.8,0.256558794,4,0.63,0.0231,0.036666667,6.83,0.00979,1.023,2026,239.416666494609,0.16163204022,-6.30303502228026,6.08859125783871,-1.82243288385966,-3.30588719276692,5.47820540847264,-6.94601873198443
"50","2.6","Purich_2006",0.00204844,657.27,0.256558794,4,0.63,0.0231,0.036666667,10.18,0.00979,1.023,2026,356.846510236475,0.16163204022,-6.19067675113049,6.48809489296824,-1.82243288385966,-3.30588719276692,5.87730574601232,-6.94775744016146
"51","3.1","Purich_2006",0.0003758,115.88,0.513244221,4,0.63,0.0231,0.036666667,1.79,0.00979,1.023,4053,79.0616294992284,0.32334385923,-7.88645347098491,4.75255517290115,-1.12903894236311,-3.30588719276692,4.37022766857479,-7.26362797834316
"52","3.2","Purich_2006",0.00131337,152.07,0.513244221,4,0.63,0.0231,0.036666667,2.35,0.00979,1.023,4053,103.7959940353,0.32334385923,-6.6351589259484,5.02434094115237,-1.12903894236311,-3.30588719276692,4.64242737687819,-7.26465697650353
"53","3.3","Purich_2006",0.000368592,235.98,0.513244221,4,0.63,0.0231,0.036666667,3.65,0.00979,1.023,4053,161.215054565466,0.32334385923,-7.90582021670798,5.46374705567177,-1.12903894236311,-3.30588719276692,5.08273921631652,-7.26626773176129
"54","3.4","Purich_2006",0.000302218,363.78,0.513244221,4,0.63,0.0231,0.036666667,5.63,0.00979,1.023,4053,248.668700603718,0.32334385923,-8.10436194669628,5.89654928931169,-1.12903894236311,-3.30588719276692,5.51612149087372,-7.26792403746598
"55","3.5","Purich_2006",0.000258951,562.42,0.513244221,4,0.63,0.0231,0.036666667,8.71,0.00979,1.023,4053,384.707705552111,0.32334385923,-8.25887170335246,6.33224890174181,-1.12903894236311,-3.30588719276692,5.95248383958653,-7.26957381401774
"56","3.6","Purich_2006",0.000179499,640.82,0.513244221,4,0.63,0.0231,0.036666667,9.92,0.00979,1.023,4053,438.151600353266,0.32334385923,-8.6253409210821,6.46274860625336,-1.12903894236311,-3.30588719276692,6.0825649700189,-7.27020588845654
"57","I.1","Wu_2011",0.0064,0.41,0.01,1,2,0.000105,5.25e-05,0.002,0.00979,1,1,0.110905724886411,0.02,-5.05145728861651,-0.891598119283784,-3.91202300542815,-9.8546973883667,-2.19907476389858,-7.45459922065316
"58","I.2","Wu_2011",0.0033,0.82,0.01,1,2,0.000105,5.25e-05,0.004,0.00979,1,1,0.221811449772822,0.02,-5.7138328105097,-0.198450938723838,-3.91202300542815,-9.8546973883667,-1.50592758333863,-7.45745950237202
"59","I.3","Wu_2011",0.0017,1.63,0.01,1,2,0.000105,5.25e-05,0.008,0.00979,1,1,0.443622899545644,0.02,-6.37712702791997,0.488580014818671,-3.91202300542815,-9.8546973883667,-0.812780402778686,-7.45892736055487
"60","I.4","Wu_2011",0.0014,2.04,0.01,1,2,0.000105,5.25e-05,0.01,0.00979,1,1,0.554528624432055,0.02,-6.57128304236092,0.712949807856125,-3.91202300542815,-9.8546973883667,-0.589636851464477,-7.46012733245044
"61","I.5","Wu_2011",0.00069,4.08,0.01,1,2,0.000105,5.25e-05,0.02,0.00979,1,1,1.10905724886411,0.02,-7.27881896037297,1.40609698841607,-3.91202300542815,-9.8546973883667,0.103510329095469,-7.4629876141693
"62","I.6","Wu_2011",0.00035,8.17,0.01,1,2,0.000105,5.25e-05,0.04,0.00979,1,1,2.21811449772822,0.02,-7.95757740348081,2.10046890887191,-3.91202300542815,-9.8546973883667,0.796657509655414,-7.46612672083231
"63","I.7","Wu_2011",0.00018,16.34,0.01,1,2,0.000105,5.25e-05,0.08,0.00979,1,1,4.43622899545644,0.02,-8.62255370707406,2.79361608943186,-3.91202300542815,-9.8546973883667,1.48980469021536,-7.46898700255118
"64","I.8","Wu_2011",0.00014,20.42,0.01,1,2,0.000105,5.25e-05,0.1,0.00979,1,1,5.54528624432055,0.02,-8.87386813535497,3.01651481273652,-3.91202300542815,-9.8546973883667,1.71294824152957,-7.46985206991929
"65","I.9","Wu_2011",7.3e-05,40.84,0.01,1,2,0.000105,5.25e-05,0.2,0.00979,1,1,11.0905724886411,0.02,-9.52505111681588,3.70966199329646,-3.91202300542815,-9.8546973883667,2.40609542208951,-7.47271235163816
"66","II.1","Wu_2011",0.00082,4.08,0.01,1,2,1e-05,5e-06,0.02,0.00979,1,1,1.10905724886411,0.02,-7.10620621770598,1.40609698841607,-3.91202300542815,-12.2060726455302,0.103510329095469,-8.00477843845581
"67","II.2","Wu_2011",0.0015,2.04,0.005,1,1,1e-05,1e-05,0.02,0.00979,1,1,0.349331143345597,0.005,-6.50229017087397,0.712949807856125,-5.29831736654804,-11.5129254649702,-1.05173497183777,-7.19756551643221
"68","II.3","Wu_2011",0.0011,2.04,0.005,1,1,0.000105,0.000105,0.02,0.00979,1,1,0.349331143345597,0.005,-6.81244509917781,0.712949807856125,-5.29831736654804,-9.16155020780675,-1.05173497183777,-6.65577469214569
"69","II.4","Wu_2011",0.00074,4.08,0.01,1,2,2e-04,1e-04,0.02,0.00979,1,1,1.10905724886411,0.02,-7.20886037176606,1.40609698841607,-3.91202300542815,-9.21034037197618,0.103510329095469,-7.31451845001464
"70","II.5","Wu_2011",0.0012,2.04,0.005,1,1,2e-04,2e-04,0.02,0.00979,1,1,0.349331143345597,0.005,-6.72543372218818,0.712949807856125,-5.29831736654804,-8.51719319141624,-1.05173497183777,-6.50730552799103
"71","II.6","Wu_2011",0.0011,4.08,0.01,1,2,0.00105,0.000525,0.02,0.00979,1,1,1.10905724886411,0.02,-6.81244509917781,1.40609698841607,-3.91202300542815,-7.55211229537265,0.103510329095469,-6.93243874846932
"72","II.7","Wu_2011",0.0021,2.04,0.005,1,1,0.00105,0.00105,0.02,0.00979,1,1,0.349331143345597,0.005,-6.16581793425276,0.712949807856125,-5.29831736654804,-6.85896511481271,-1.05173497183777,-6.12522582644572
